id,x,y
63,2496.7554293861276,3936.182030676698
64,2456.0875647862563,3946.1710162948834
65,2415.21942579011,3955.3061276672443
66,2374.1689385141563,3963.5833578320135
67,2332.9541090588464,3970.9990761224744
68,2291.593015610543,3977.5500297594954
69,2250.103800511826,3983.233345278298
70,2208.5046623036733,3988.0465297888622
71,2166.8138477429648,3991.987472069384
72,2125.0496437988622,3995.054443492329
73,2083.2303696315344,3997.246098782667
74,2041.3743685567722,3998.5614766079534
75,1999.5000000000005,3999.0
76,1957.6256314432273,3998.5614766079534
77,1915.7696303684654,3997.246098782667
78,1873.9503562011378,3995.054443492329
79,1832.1861522570355,3991.987472069384
80,1790.495337696327,3988.0465297888622
81,1748.8961994881734,3983.233345278298
82,1707.406984389458,3977.5500297594954
83,1666.0458909411536,3970.9990761224744
84,1624.8310614858433,3963.583357832013
85,1583.7805742098908,3955.3061276672443
86,1542.912435213744,3946.1710162948834
87,1502.244570613873,3936.182030676698
88,1461.7948186797767,3925.3435523119174
89,1421.5809220095286,3913.6603353153682
90,1381.6205197472927,3901.1375043321596
91,1341.9311398462028,3887.7805522898434
92,1302.5301913800308,3873.595337989037
93,1263.4349569069868,3858.588083533559
94,1224.66258488902,3842.7653716012064
95,1186.2300821699378,3826.1341425563805
96,1148.154306515637,3808.7016914058063
97,1110.451959219738,3790.4756645987063
98,1073.1395777778368,3771.464056672814
99,1036.23352863362,3751.675206747705
100,999.7500000000005,3731.1177948669856
101,963.7049947584263,3709.8008381909326
102,928.1143234394966,3687.7336870412796
103,892.9935972879337,3664.9260207998436
104,858.3582214149784,3641.3878436628406
105,824.2233880412002,3617.1294802527073
106,790.6040698326816,3592.1615710893807
107,757.5150133335186,3566.4950679230174
108,724.9707324974954,3540.141228930191
109,692.985502321784,3513.111613775687
110,661.573352585463,3485.4180785420494
111,630.7480616955875,3457.072770529113
112,600.5231506435257,3428.08812292579
113,570.91187707421,3398.4768493564748
114,541.9272294708875,3368.2519383044128
115,513.5819214579506,3337.4266474145375
116,485.8883862243133,3306.0144976782162
117,458.8587710698095,3274.0292675025057
118,432.50493207698344,3241.4849866664817
119,406.83842891061914,3208.395930167318
120,381.8705197472928,3174.7766119588
121,357.6121563371594,3140.6417785850226
122,334.0739792001561,3106.0064027120666
123,311.2663129587208,3070.8856765605037
124,289.19916180906716,3035.2950052415736
125,267.8822051330148,2999.25
126,247.32479325229497,2962.7664713663803
127,227.53594332718623,2925.8604222221634
128,208.52433540129388,2888.5480407802625
129,190.2983085941938,2850.8456934843625
130,172.8658574436197,2812.7699178300627
131,156.23462839879346,2774.33741511098
132,140.4119164664411,2735.5650430930136
133,125.4046620109629,2696.469808619969
134,111.21944771015683,2657.0688601537972
135,97.86249566784052,2617.3794802527073
136,85.33966468463186,2577.4190779904716
137,73.65644768808265,2537.205181320224
138,62.81796932330189,2496.7554293861263
139,52.82898370511586,2456.0875647862554
140,43.693872332755525,2415.21942579011
141,35.41664216798691,2374.1689385141563
142,28.0009238775256,2332.9541090588473
143,21.449970240504804,2291.593015610542
144,15.766654721701698,2250.1038005118266
145,10.953470211137638,2208.5046623036737
146,7.012527930616254,2166.813847742966
147,3.945556507671028,2125.049643798863
148,1.7539012173327406,2083.230369631534
149,0.4385233920463312,2041.3743685567717
150,0.0,1999.5000000000005
151,0.4385233920463312,1957.6256314432283
152,1.7539012173327406,1915.7696303684645
153,3.945556507671028,1873.950356201138
154,7.0125279306160255,1832.1861522570352
155,10.953470211137638,1790.4953376963267
156,15.76665472170147,1748.8961994881736
157,21.449970240504804,1707.4069843894586
158,28.000923877525373,1666.045890941154
159,35.416642167987135,1624.8310614858433
160,43.693872332755525,1583.7805742098908
161,52.82898370511609,1542.9124352137444
162,62.81796932330211,1502.2445706138726
163,73.65644768808242,1461.7948186797767
164,85.3396646846314,1421.5809220095293
165,97.86249566784052,1381.620519747292
166,111.2194477101566,1341.931139846203
167,125.4046620109629,1302.5301913800306
168,140.41191646644157,1263.434956906986
169,156.23462839879323,1224.66258488902
170,172.86585744361923,1186.2300821699384
171,190.29830859419357,1148.154306515638
172,208.52433540129414,1110.4519592197373
